#NAME	Sequencing_id	Sample	Herd	Cow	Quarter	Status	Sa_quarter
PCR10neg	PCR10neg	PCRneg	Control	Control	Control	Control	Control
PCR11neg	PCR11neg	PCRneg	Control	Control	Control	Control	Control
PCR14neg	PCR14neg	PCRneg	Control	Control	Control	Control	Control
PCR15neg	PCR15neg	PCRneg	Control	Control	Control	Control	Control
PCR16neg	PCR16neg	PCRneg	Control	Control	Control	Control	Control
PCR17neg	PCR17neg	PCRneg	Control	Control	Control	Control	Control
PCR5neg	PCR5neg	PCRneg	Control	Control	Control	Control	Control
PCR6neg	PCR6neg	PCRneg	Control	Control	Control	Control	Control
PCR7neg	PCR7neg	PCRneg	Control	Control	Control	Control	Control
PCR8neg	PCR8neg	PCRneg	Control	Control	Control	Control	Control
PCR9neg	PCR9neg	PCRneg	Control	Control	Control	Control	Control
SYKit1GD	SYKit1GD	SYKitGD	Control	Control	Control	Control	Control
SYKit1neg	SYKit1neg	SYKitneg	Control	Control	Control	Control	Control
SYKit2GD	SYKit2GD	SYKitGD	Control	Control	Control	Control	Control
SYKit2neg	SYKit2neg	SYKitneg	Control	Control	Control	Control	Control
SYKit3GD	SYKit3GD	SYKitGD	Control	Control	Control	Control	Control
SYKit3neg	SYKit3neg	SYKitneg	Control	Control	Control	Control	Control
SYKit4GD	SYKit4GD	SYKitGD	Control	Control	Control	Control	Control
SYKit4negr	SYKit4negr	SYKitneg	Control	Control	Control	Control	Control
SYKit5GD	SYKit5GD	SYKitGD	Control	Control	Control	Control	Control
SYKit5neg	SYKit5neg	SYKitneg	Control	Control	Control	Control	Control
SYKit6GD	SYKit6GD	SYKitGD	Control	Control	Control	Control	Control
SYKit6negr	SYKit6negr	SYKitneg	Control	Control	Control	Control	Control
SYKit7GD	SYKit7GD	SYKitGD	Control	Control	Control	Control	Control
SYKit7neg	SYKit7neg	SYKitneg	Control	Control	Control	Control	Control
190129C120Q1	SaMS555	Milk	Herd1	Cow120	Quarter1	NoCM	healthy_quarter
190129C120Q2	SaMS556	Milk	Herd1	Cow120	Quarter2	NoCM	mastitic_quarter
190129C120Q3	SaMS557	Milk	Herd1	Cow120	Quarter3	NoCM	no_mastitic_quarter
190129C120Q4	SaMS558	Milk	Herd1	Cow120	Quarter4	NoCM	no_mastitic_quarter
190212C120Q1	SaMS559	Milk	Herd1	Cow120	Quarter1	NoCM	healthy_quarter
190212C120Q2	SaMS560	Milk	Herd1	Cow120	Quarter2	NoCM	mastitic_quarter
190212C120Q3	SaMS561	Milk	Herd1	Cow120	Quarter3	NoCM	no_mastitic_quarter
190212C120Q4	SaMS562	Milk	Herd1	Cow120	Quarter4	NoCM	no_mastitic_quarter
190507C120Q1	SaMS563	Milk	Herd1	Cow120	Quarter1	NoCM	healthy_quarter
190507C120Q2	SaMS564	Milk	Herd1	Cow120	Quarter2	NoCM	mastitic_quarter
